Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,19.779285,19.821428,19.343929,19.608213,16.890797,560518000
2013-01-03,19.567142,19.631071,19.321428,19.360714,16.677597,352965200
2013-01-04,19.177500,19.236786,18.779642,18.821428,16.213047,594333600
2013-01-07,18.642857,18.903570,18.400000,18.710714,16.117676,484156400
2013-01-08,18.900356,18.996071,18.616072,18.761070,16.161057,458707200
2013-01-09,18.660713,18.750357,18.428213,18.467857,15.908484,407604400
2013-01-10,18.876785,18.882856,18.411428,18.696787,16.105682,601146000
2013-01-11,18.607143,18.761429,18.536428,18.582144,16.006924,350506800
2013-01-14,17.952856,18.125000,17.803928,17.919643,15.436242,734207600
2013-01-15,17.796429,17.821072,17.263571,17.354286,14.949233,876772400
2013-01-16,17.665714,18.194286,17.589287,18.074642,15.569757,690804800
2013-01-17,18.225357,18.241072,17.929644,17.952856,15.464846,453678400
2013-01-18,17.804285,17.936428,17.728571,17.857143,15.382403,472922800
2013-01-22,18.020000,18.138571,17.736786,18.027500,15.529152,461546400
2013-01-23,18.171785,18.392500,18.027500,18.357500,15.813414,861509600
2013-01-24,16.428572,16.633215,16.080357,16.089287,13.859544,1460852400
2013-01-25,16.131786,16.293928,15.535714,15.710000,13.532824,1208026400
2013-01-28,15.636786,16.186071,15.566429,16.065357,13.838926,785517600
2013-01-29,16.375000,16.435715,16.147142,16.366785,14.098582,571158000
2013-01-30,16.321428,16.521429,16.232143,16.315357,14.054287,417155200
2013-01-31,16.320715,16.402857,16.249287,16.267500,14.013060,319334400
2013-02-01,16.396786,16.410000,16.012501,16.200714,13.955529,539484400
2013-02-04,16.211071,16.283571,15.785714,15.797143,13.607888,477117200
2013-02-05,15.858929,16.419287,15.793571,16.351429,14.085358,573347600
2013-02-06,16.302500,16.660713,16.163570,16.333929,14.070284,593706400
2013-02-07,16.544643,16.785713,16.218571,16.722143,14.488647,704580800
2013-02-08,16.928572,17.100357,16.723213,16.963572,14.697833,633158400
2013-02-11,17.017857,17.319286,16.901787,17.140356,14.851001,517490400
2013-02-12,17.125357,17.227858,16.705000,16.710714,14.478742,609053200
2013-02-13,16.686071,16.915714,16.543571,16.678928,14.451204,475207600
2013-02-14,16.590000,16.844286,16.572144,16.663929,14.438208,355275200
2013-02-15,16.744642,16.791430,16.425714,16.434286,14.239241,391745200
2013-02-19,16.467857,16.526072,16.208929,16.428213,14.233973,435783600
2013-02-20,16.346071,16.346071,16.028570,16.030357,13.889256,476302400
2013-02-21,15.928571,16.041786,15.815000,15.930714,13.802922,447182400
2013-02-22,16.044643,16.128571,15.950000,16.100357,13.949910,330654800
2013-02-25,16.208929,16.254286,15.806071,15.814286,13.702047,372579200
2013-02-26,15.850714,16.126429,15.630714,16.034643,13.892970,501499600
2013-02-27,16.015356,16.158571,15.737500,15.877500,13.756819,587350400
2013-02-28,15.858929,15.995357,15.764286,15.764286,13.658728,322515200
2013-03-01,15.642857,15.649286,15.356429,15.373929,13.320506,552448400
2013-03-04,15.278571,15.292857,14.964286,15.001786,12.998068,582755600
2013-03-05,15.052857,15.542500,15.026786,15.397857,13.341238,638433600
2013-03-06,15.518214,15.544643,15.158214,15.202143,13.171666,460250000
2013-03-07,15.160714,15.428929,15.037857,15.377857,13.323909,468473600
2013-03-08,15.350000,15.551071,15.307500,15.418571,13.359186,391482000
2013-03-11,15.348214,15.678929,15.183571,15.638214,13.549495,474236000
2013-03-12,15.557143,15.674286,15.270357,15.301071,13.257381,465911600
2013-03-13,15.301786,15.517857,15.191429,15.298214,13.254904,405549200
2013-03-14,15.458214,15.522857,15.373214,15.446429,13.383320,303875600
2013-03-15,15.640357,15.865357,15.616071,15.845000,13.728659,643960800
2013-03-18,15.766071,16.337856,15.757143,16.275715,14.101844,606197200
2013-03-19,16.410713,16.463215,16.017857,16.231787,14.063787,526775200
2013-03-20,16.336430,16.343929,16.056786,16.145714,13.989208,308660800
2013-03-21,16.079287,16.356428,16.075001,16.168928,14.009321,383255600
2013-03-22,16.235001,16.503571,16.182501,16.496786,14.293386,395105200
2013-03-25,16.596071,16.783930,16.492144,16.556429,14.345062,501135600
2013-03-26,16.622856,16.637142,16.447500,16.469286,14.269555,294294000
2013-03-27,16.302143,16.314285,16.097500,16.145714,13.989208,331237200
2013-03-28,16.065001,16.136429,15.772143,15.809286,13.697716,442839600
2013-04-01,15.782143,15.846429,15.276429,15.318214,13.272233,389732000
2013-04-02,15.271429,15.647857,15.228571,15.349643,13.299465,529519200
2013-04-03,15.406071,15.617143,15.368214,15.428214,13.367542,363216000
2013-04-04,15.491429,15.535714,15.187500,15.275714,13.235411,358447600
2013-04-05,15.160714,15.176786,14.988571,15.114286,13.095543,383695200
2013-04-08,15.173214,15.267857,15.088929,15.221786,13.188686,300829200
2013-04-09,15.227143,15.303571,15.098214,15.249286,13.212509,306614000
2013-04-10,15.289286,15.609286,15.214643,15.560357,13.482034,375928000
2013-04-11,15.490000,15.642500,15.400000,15.511786,13.439950,328364400
2013-04-12,15.505357,15.505357,15.324643,15.350000,13.299774,238613200
2013-04-15,15.250000,15.281786,14.983929,14.994643,12.991879,317520000
2013-04-16,15.056071,15.236071,15.020357,15.222857,13.189613,305771200
2013-04-17,15.009643,15.021429,14.218214,14.385714,12.464283,945056000
2013-04-18,14.463929,14.492500,13.919286,14.001786,12.131634,666299200
2013-04-19,13.856071,14.271429,13.753571,13.947500,12.084598,609274400
2013-04-22,14.022857,14.364286,13.973929,14.238214,12.336484,429920400
2013-04-23,14.428214,14.585000,14.243214,14.504643,12.567326,664238400
2013-04-24,14.055000,14.830357,14.017857,14.480714,12.546596,969651200
2013-04-25,14.686786,14.783571,14.535714,14.585000,12.636950,384837600
2013-04-26,14.636071,14.956071,14.580357,14.900000,12.909880,764097600
2013-04-29,15.016071,15.486429,15.000000,15.361429,13.309678,640326400
2013-04-30,15.539286,15.901786,15.431071,15.813571,13.701427,691538400
2013-05-01,15.873571,15.890357,15.513929,15.688929,13.593433,506909200
2013-05-02,15.777857,16.021070,15.736786,15.911429,13.786215,421828400
2013-05-03,16.118214,16.186787,16.041071,16.070715,13.924227,361300800
2013-05-06,16.275356,16.507143,16.225357,16.453930,14.256259,496641600
2013-05-07,16.606071,16.633928,16.203571,16.380714,14.192822,483753200
2013-05-08,16.394285,16.620358,16.278929,16.565714,14.353108,472598000
2013-05-09,16.421785,16.535713,16.270714,16.313213,14.227893,398487600
2013-05-10,16.356071,16.418215,16.088572,16.177500,14.109526,334852000
2013-05-13,16.125357,16.353571,16.125000,16.240713,14.164662,316948800
2013-05-14,16.208929,16.257143,15.791071,15.852143,13.825761,447118000
2013-05-15,15.684286,15.750000,15.084286,15.316071,13.358213,741613600
2013-05-16,15.115714,15.637500,14.960714,15.520714,13.536700,603204000
2013-05-17,15.680357,15.717500,15.393214,15.473571,13.495581,427904400
2013-05-20,15.425357,15.921429,15.360714,15.818929,13.796789,451578400
2013-05-21,15.648214,15.910000,15.507143,15.702143,13.694933,456022000
2013-05-22,15.858929,16.012501,15.650714,15.762500,13.747573,443038400
2013-05-23,15.569643,15.934286,15.563929,15.790714,13.772183,353021200
2013-05-24,15.744643,15.916429,15.727143,15.898214,13.865943,276166800
2013-05-28,16.067858,16.111071,15.744643,15.765714,13.750381,386145200
2013-05-29,15.714286,15.982143,15.692857,15.891071,13.859711,330576400
2013-05-30,15.916071,16.232143,15.875357,16.127857,14.066230,353519600
2013-05-31,16.160713,16.325001,16.053572,16.061787,14.008606,384302800
